#  L TT            EE            BB            TE            PP            PT            PE           
 148 4.3345766e+03 1.1148159e+00 7.3432686e-03 -4.6171392e+01 7.6349917e-08 2.2425288e-04 -1.1415984e-06
 149 4.3678638e+03 1.1107965e+00 7.4504552e-03 -4.6251842e+01 7.5910968e-08 2.2230779e-04 -1.1273160e-06
 150 4.4009611e+03 1.1063269e+00 7.5586443e-03 -4.6308568e+01 7.5475586e-08 2.2038210e-04 -1.1128003e-06
 151 4.4338465e+03 1.1014148e+00 7.6678411e-03 -4.6341280e+01 7.5043729e-08 2.1847444e-04 -1.0981492e-06
 152 4.4665272e+03 1.0960678e+00 7.7780503e-03 -4.6349682e+01 7.4615357e-08 2.1658446e-04 -1.0833903e-06
 153 4.4989879e+03 1.0903008e+00 7.8892766e-03 -4.6333474e+01 7.4190484e-08 2.1471224e-04 -1.0685342e-06
 154 4.5312279e+03 1.0841289e+00 8.0015241e-03 -4.6292505e+01 7.3769043e-08 2.1285766e-04 -1.0535908e-06
 155 4.5632394e+03 1.0775521e+00 8.1147969e-03 -4.6226401e+01 7.3351048e-08 2.1102081e-04 -1.0385706e-06
 156 4.5950292e+03 1.0705931e+00 8.2290984e-03 -4.6135011e+01 7.2936460e-08 2.0920161e-04 -1.0234836e-06
 157 4.6265747e+03 1.0632517e+00 8.3444318e-03 -4.6018036e+01 7.2525256e-08 2.0740007e-04 -1.0083402e-06
 158 4.6578825e+03 1.0555580e+00 8.4608000e-03 -4.5875249e+01 7.2117416e-08 2.0561619e-04 -9.9315047e-07
 159 4.6889375e+03 1.0475120e+00 8.5782053e-03 -4.5706427e+01 7.1712892e-08 2.0384985e-04 -9.7792432e-07
 160 4.7197317e+03 1.0391362e+00 8.6966499e-03 -4.5511419e+01 7.1311713e-08 2.0210123e-04 -9.6267274e-07
 161 4.7502423e+03 1.0304456e+00 8.8161353e-03 -4.5289925e+01 7.0913808e-08 2.0037018e-04 -9.4740538e-07
 162 4.7804613e+03 1.0214550e+00 8.9366627e-03 -4.5041869e+01 7.0519188e-08 1.9865675e-04 -9.3213269e-07
